epoch,train_loss,train_auc,val_loss,val_auc
1,0.2341904,0.0,0.48191857,0.8015507124895223
2,0.2639325,0.8015507124895223,0.43148357,0.8161566709345418
3,0.50674343,0.8161566709345418,0.43293273,0.8236124032435852
4,0.42570806,0.8236124032435852,0.43348753,0.8271740832511998
5,0.30254334,0.8271740832511998,0.42474246,0.8271740832511998
6,0.71203816,0.8271740832511998,0.4470333,0.828337002477824
7,0.6169282,0.828337002477824,0.43313628,0.828337002477824
8,0.7848973,0.828337002477824,0.42498416,0.8293210701006175
9,1.083774,0.8293210701006175,0.44978893,0.8301800183610744
10,0.6142257,0.8301800183610744,0.4258455,0.8301800183610744
11,0.32376224,0.8301800183610744,0.4101242,0.8301800183610744
12,0.38372767,0.8301800183610744,0.43059766,0.8301800183610744
13,0.39841032,0.8301800183610744,0.4178072,0.8301800183610744
14,0.32940984,0.8301800183610744,0.392974,0.8318434150370446
15,0.17276196,0.8318434150370446,0.4015032,0.8318434150370446
16,0.5869798,0.8318434150370446,0.39700818,0.8318434150370446
17,0.21956345,0.8318434150370446,0.4217924,0.8318434150370446
18,0.30846024,0.8318434150370446,0.39787096,0.8318434150370446
19,0.2475716,0.8318434150370446,0.40876254,0.8318434150370446
20,0.3596453,0.8318434150370446,0.40619814,0.8318434150370446
21,0.22073525,0.8318434150370446,0.41462815,0.8318434150370446
22,0.19510609,0.8318434150370446,0.41414577,0.8318434150370446
23,0.4011261,0.8318434150370446,0.44370657,0.8318434150370446
24,0.14066443,0.8318434150370446,0.37392685,0.8318434150370446
25,0.26533595,0.8318434150370446,0.3991905,0.8318434150370446
26,0.08949805,0.8318434150370446,0.37304118,0.8318434150370446
27,0.33464345,0.8318434150370446,0.37137502,0.8318434150370446
28,0.15770268,0.8318434150370446,0.42032582,0.8318434150370446
29,0.15951477,0.8318434150370446,0.387461,0.8318434150370446
30,0.5597751,0.8318434150370446,0.37448192,0.8318434150370446
31,0.18764354,0.8318434150370446,0.38410452,0.8318434150370446
32,0.25793603,0.8318434150370446,0.38534528,0.8318434150370446
33,0.4179242,0.8318434150370446,0.42012545,0.8318434150370446
34,0.41266185,0.8318434150370446,0.41469526,0.8318434150370446
35,0.5649,0.8318434150370446,0.40505397,0.8318434150370446
36,0.5617666,0.8318434150370446,0.3924667,0.8318434150370446
37,0.0912928,0.8318434150370446,0.461084,0.8318434150370446
38,0.12821901,0.8318434150370446,0.40118897,0.8318434150370446
39,0.50952506,0.8318434150370446,0.4436733,0.8318434150370446
40,0.15140931,0.8318434150370446,0.4637475,0.8318434150370446
41,0.31764206,0.8318434150370446,0.41548854,0.8318434150370446
42,0.24181303,0.8318434150370446,0.3939262,0.8318434150370446
43,0.1790885,0.8318434150370446,0.37958685,0.8318434150370446
44,0.24511108,0.8318434150370446,0.3707712,0.8318434150370446
45,0.12644283,0.8318434150370446,0.46525103,0.8318434150370446
46,0.45050207,0.8318434150370446,0.43520796,0.8318434150370446
47,0.1588344,0.8318434150370446,0.42655355,0.8318434150370446
48,0.2257711,0.8318434150370446,0.3599543,0.8318434150370446
49,0.1541727,0.8318434150370446,0.46819,0.8318434150370446
50,0.57984257,0.8318434150370446,0.40929782,0.8318434150370446
