epoch,train_loss,train_auc,val_loss,val_auc
1,0.49004462,0.0,0.6803506,0.6604149990764115
2,0.49207985,0.6604149990764115,0.6933465,0.6728378794409212
3,0.37708053,0.6728378794409212,0.6710136,0.6839110892186442
4,0.5077785,0.6839110892186442,0.6832886,0.6839110892186442
5,0.27586293,0.6839110892186442,0.65071,0.6839110892186442
6,0.3267231,0.6839110892186442,0.65009004,0.6839110892186442
7,0.5089875,0.6839110892186442,0.6599996,0.6839110892186442
8,0.27568632,0.6839110892186442,0.6634096,0.6839110892186442
9,0.2687717,0.6839110892186442,0.6606846,0.6839110892186442
10,0.45933232,0.6839110892186442,0.6612239,0.6839110892186442
11,0.5787178,0.6839110892186442,0.65277314,0.6839110892186442
12,0.46921673,0.6839110892186442,0.6481571,0.6839110892186442
13,0.2691215,0.6839110892186442,0.64403486,0.6839110892186442
14,0.5369598,0.6839110892186442,0.6526116,0.6839110892186442
15,0.24943121,0.6839110892186442,0.6589972,0.6839110892186442
16,0.3960876,0.6839110892186442,0.67040396,0.6839110892186442
17,0.3786537,0.6839110892186442,0.6588278,0.6839110892186442
18,0.26921958,0.6839110892186442,0.6440451,0.6839110892186442
19,0.25135097,0.6839110892186442,0.662768,0.6839110892186442
20,0.2438539,0.6839110892186442,0.6544986,0.6839110892186442
21,0.7200496,0.6839110892186442,0.66273534,0.6839110892186442
22,0.26988357,0.6839110892186442,0.69941664,0.6839110892186442
23,0.27276975,0.6839110892186442,0.6694032,0.6839110892186442
24,0.22344443,0.6839110892186442,0.6716128,0.6839110892186442
25,0.2799174,0.6839110892186442,0.6723441,0.6839110892186442
26,0.71719503,0.6839110892186442,0.71032864,0.6839110892186442
27,0.28898317,0.6839110892186442,0.6874348,0.6839110892186442
28,0.27180976,0.6839110892186442,0.67322123,0.6839110892186442
29,0.36078322,0.6839110892186442,0.66995513,0.6839110892186442
30,0.21841311,0.6839110892186442,0.64567375,0.6839110892186442
31,0.5034792,0.6839110892186442,0.6625184,0.6839110892186442
32,0.5455452,0.6839110892186442,0.7055875,0.6839110892186442
33,0.27089712,0.6839110892186442,0.7025075,0.6839110892186442
34,0.17536078,0.6839110892186442,0.6746361,0.6839110892186442
35,0.32385534,0.6839110892186442,0.63349247,0.6839110892186442
36,0.29480425,0.6839110892186442,0.68789434,0.6839110892186442
37,0.20515506,0.6839110892186442,0.66388845,0.6839110892186442
38,0.23716493,0.6839110892186442,0.65744567,0.6839110892186442
39,0.18219961,0.6839110892186442,0.68061006,0.6839110892186442
40,0.34534237,0.6839110892186442,0.6888627,0.6839110892186442
41,0.22093624,0.6839110892186442,0.68816626,0.6839110892186442
42,0.40820774,0.6839110892186442,0.6395607,0.6839110892186442
43,0.14706369,0.6839110892186442,0.7061488,0.6839110892186442
44,0.14154473,0.6839110892186442,0.73190767,0.6839110892186442
45,0.2541335,0.6839110892186442,0.7044574,0.6839110892186442
46,0.18788747,0.6839110892186442,0.6812565,0.6839110892186442
47,0.13629563,0.6839110892186442,0.64270574,0.6839110892186442
48,0.27989498,0.6839110892186442,0.6670165,0.6839110892186442
49,0.21418922,0.6839110892186442,0.7394872,0.6839110892186442
50,0.3013059,0.6839110892186442,0.68304086,0.6839110892186442
