epoch,train_loss,train_auc,val_loss,val_auc
1,0.77795446,0.0,0.7358281,0.7658594047921085
2,0.5357709,0.7658594047921085,0.73411274,0.7779626720078141
3,0.4620943,0.7779626720078141,0.7283665,0.7813769682572602
4,0.47252893,0.7813769682572602,0.73972785,0.7813769682572602
5,0.7497821,0.7813769682572602,0.7122196,0.783002933891464
6,0.5456542,0.783002933891464,0.7355649,0.7831822815805034
7,0.46173918,0.7831822815805034,0.73114514,0.7833032190465702
8,0.5724332,0.7833032190465702,0.7483926,0.7833032190465702
9,0.51934355,0.7833032190465702,0.7113328,0.7852889093138831
10,0.7607203,0.7852889093138831,0.7366598,0.7852889093138831
11,0.58095384,0.7852889093138831,0.7159021,0.7852889093138831
12,0.53724194,0.7852889093138831,0.7528411,0.7852889093138831
13,0.56409883,0.7852889093138831,0.75236773,0.7852889093138831
14,0.47228122,0.7852889093138831,0.7481576,0.7852889093138831
15,0.5883209,0.7852889093138831,0.734311,0.7855145734792885
16,0.43972898,0.7855145734792885,0.7296314,0.7855145734792885
17,0.5328685,0.7855145734792885,0.79008317,0.7855145734792885
18,0.7133505,0.7855145734792885,0.7726814,0.7855145734792885
19,0.69033885,0.7855145734792885,0.7965653,0.7855145734792885
20,0.557585,0.7855145734792885,0.7457783,0.7855145734792885
21,0.5232052,0.7855145734792885,0.7644731,0.7855145734792885
22,0.6224421,0.7855145734792885,0.7376537,0.7855145734792885
23,0.42763305,0.7855145734792885,0.79448116,0.7855145734792885
24,0.31419784,0.7855145734792885,0.7752777,0.7855145734792885
25,0.94721204,0.7855145734792885,0.7417897,0.7855145734792885
26,0.5442892,0.7855145734792885,0.77136856,0.7855145734792885
27,0.5018512,0.7855145734792885,0.7779762,0.7855145734792885
28,0.2669743,0.7855145734792885,0.7784392,0.7855145734792885
29,0.45292062,0.7855145734792885,0.8012394,0.7855145734792885
30,0.52895594,0.7855145734792885,0.8113401,0.7855145734792885
31,0.3543661,0.7855145734792885,0.78572106,0.7855145734792885
32,0.5348239,0.7855145734792885,0.8606955,0.7855145734792885
33,0.51335824,0.7855145734792885,0.8317086,0.7855145734792885
34,0.4376615,0.7855145734792885,0.93391865,0.7855145734792885
35,0.3541243,0.7855145734792885,0.8178154,0.7855145734792885
36,0.2851439,0.7855145734792885,0.8536552,0.7855145734792885
37,0.3779992,0.7855145734792885,0.869818,0.7855145734792885
38,0.2625782,0.7855145734792885,0.8704692,0.7855145734792885
39,0.5057291,0.7855145734792885,0.9657845,0.7855145734792885
40,0.54773915,0.7855145734792885,0.9089047,0.7855145734792885
41,0.45847982,0.7855145734792885,0.9666053,0.7855145734792885
42,0.4140808,0.7855145734792885,0.9425577,0.7855145734792885
43,0.14085978,0.7855145734792885,1.0415173,0.7855145734792885
44,0.60249346,0.7855145734792885,1.0023444,0.7855145734792885
45,0.46946272,0.7855145734792885,1.1265352,0.7855145734792885
46,0.29439962,0.7855145734792885,1.2225953,0.7855145734792885
47,0.5052526,0.7855145734792885,1.1915674,0.7855145734792885
48,0.21664724,0.7855145734792885,1.2540365,0.7855145734792885
49,0.123253256,0.7855145734792885,1.2503428,0.7855145734792885
50,0.3812005,0.7855145734792885,1.318089,0.7855145734792885
