epoch,train_loss,train_auc,val_loss,val_auc
1,0.6148112,0.0,0.66909254,0.6366553783634012
2,0.6674628,0.6366553783634012,0.64613223,0.6417412720891571
3,0.75239277,0.6417412720891571,0.64946795,0.6417412720891571
4,0.6683789,0.6417412720891571,0.6515424,0.6432140878024752
5,0.32553157,0.6432140878024752,0.648334,0.6668567206452806
6,0.3059958,0.6668567206452806,0.6439251,0.676482975186257
7,0.23250976,0.676482975186257,0.6361091,0.676482975186257
8,0.30595884,0.676482975186257,0.62265205,0.6792796010097901
9,0.3252324,0.6792796010097901,0.6213678,0.6833778708207623
10,0.2725296,0.6833778708207623,0.64032406,0.6833778708207623
11,0.31977272,0.6833778708207623,0.61950076,0.6840256141863186
12,0.3190021,0.6840256141863186,0.62681454,0.6885228742072532
13,0.6577324,0.6885228742072532,0.6178355,0.6953968351702482
14,0.3168656,0.6953968351702482,0.62027204,0.6953968351702482
15,0.50611913,0.6953968351702482,0.62322414,0.6953968351702482
16,0.31598836,0.6953968351702482,0.61082315,0.6953968351702482
17,0.27314743,0.6953968351702482,0.6043513,0.6953968351702482
18,0.4270026,0.6953968351702482,0.5943011,0.6953968351702482
19,0.25182605,0.6953968351702482,0.601992,0.6985037867126409
20,0.28938246,0.6985037867126409,0.6113603,0.6985037867126409
21,0.30579525,0.6985037867126409,0.6064315,0.701437103626624
22,0.57596534,0.701437103626624,0.6272325,0.701437103626624
23,0.29795203,0.701437103626624,0.5991283,0.701437103626624
24,0.5086987,0.701437103626624,0.63083935,0.701437103626624
25,0.5537097,0.701437103626624,0.6133926,0.701437103626624
26,0.37408802,0.701437103626624,0.6217065,0.701437103626624
27,0.67380464,0.701437103626624,0.6194568,0.701437103626624
28,0.30747446,0.701437103626624,0.6290908,0.701437103626624
29,0.5879915,0.701437103626624,0.6220875,0.701437103626624
30,0.2605364,0.701437103626624,0.66013545,0.701437103626624
31,1.1028804,0.701437103626624,0.7042282,0.701437103626624
32,0.62406445,0.701437103626624,0.57208943,0.701437103626624
33,0.4940276,0.701437103626624,0.6195532,0.701437103626624
34,0.5171672,0.701437103626624,0.6445166,0.701437103626624
35,0.55517066,0.701437103626624,0.6933936,0.701437103626624
36,0.2917813,0.701437103626624,0.7098958,0.701437103626624
37,0.17882238,0.701437103626624,0.7557309,0.701437103626624
38,0.15179038,0.701437103626624,0.66079247,0.701437103626624
39,0.61816597,0.701437103626624,0.6340053,0.701437103626624
40,0.37475595,0.701437103626624,0.6801655,0.701437103626624
41,0.34840542,0.701437103626624,0.7588599,0.701437103626624
42,0.40329948,0.701437103626624,0.7873677,0.701437103626624
43,0.4663748,0.701437103626624,0.9079972,0.701437103626624
44,0.1456583,0.701437103626624,0.8790372,0.701437103626624
45,0.48858124,0.701437103626624,0.96093535,0.701437103626624
46,0.42810467,0.701437103626624,0.84825623,0.701437103626624
47,0.5369796,0.701437103626624,0.7843708,0.701437103626624
48,0.37148082,0.701437103626624,1.2330599,0.701437103626624
49,0.13629206,0.701437103626624,1.1890521,0.701437103626624
50,0.17246495,0.701437103626624,1.405819,0.701437103626624
